Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
CalpB,-0.671094619,-0.353394923,-1.299950972,0.281312491,-0.877473049,#VALUE!,0.024603367,0.321004474,#VALUE!,2.26474659
,2.216982489,2.197016127,2.284810223,2.430285273,2.12568416,1.86603755,2.192951618,2.154907199,#VALUE!,2.600697931
Hsp67Bc,-0.874904397,-1.265379247,1.09396575,1.439303981,-1.163655706,-0.947194617,1.253202677,1.918653375,#VALUE!,2.874541251
Obp83b,#VALUE!,3.900528731,1.53116933,2.28475101,#VALUE!,#VALUE!,2.313187794,2.630917966,#VALUE!,2.911365621
,1.899098272,2.799874769,0.270708334,2.019346089,1.90565897,#VALUE!,1.708893509,0.839717775,#VALUE!,3.122391109
CG12896-RA,1.960697039,2.047538389,2.479799661,2.601458821,1.892507603,1.59841285,2.518686199,2.55875743,#VALUE!,3.247304742
,2.146752962,2.151956205,3.221753372,2.78144365,3.516519498,2.220670465,1.735002193,2.364236231,#VALUE!,4.355157256
MESR6,-2.3382504,-1.602569395,#VALUE!,#VALUE!,2.149421968,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-3.642648438
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.449847958
skpB,#VALUE!,#VALUE!,#VALUE!,-1.889182436,-0.047547146,-2.552410225,-2.033333287,#VALUE!,#VALUE!,-2.335189518
Cp36,#VALUE!,#VALUE!,-3.170848622,-1.660953856,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.076128226
,#VALUE!,#VALUE!,#VALUE!,0.305211776,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.050681721
Spn88Eb,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.120168787,-1.932912035
smid,-1.818732034,-1.547383481,#VALUE!,#VALUE!,-0.728383093,#VALUE!,#VALUE!,-0.726543789,-2.15508413,-1.92834715
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.877950209,-1.896576217
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.059078342,-0.165547659,0.111565545,0.066261442,-1.834904882
CG13759-RA,#VALUE!,#VALUE!,#VALUE!,-1.145509571,-0.80503045,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.816240376
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.811320565
,#VALUE!,-2.121737651,#VALUE!,#VALUE!,-2.435416966,#VALUE!,#VALUE!,#VALUE!,-3.045014612,-1.767142804
Nc73EF,#VALUE!,-1.330029893,-2.099123534,#VALUE!,-1.152836891,#VALUE!,#VALUE!,#VALUE!,-1.425888801,-1.721135031
Nup93-1,-1.94169736,-1.559664334,#VALUE!,-0.716007132,#VALUE!,-1.254461465,#VALUE!,#VALUE!,-1.007666618,-1.682325464
CG31534-RB,-1.18954867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.65068002
CG17544-RA,-0.523234682,-1.572694196,#VALUE!,-1.135617712,-1.774132811,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.613696707
Cyp6a17,-0.655466888,#VALUE!,-0.421592586,-0.938375855,-1.8700708,#VALUE!,-0.145764921,-0.499361088,-1.436783284,-1.559324146
sec8,-1.511073732,-1.958364501,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.511484991
GluClalpha,-1.849128423,#VALUE!,-0.929940469,#VALUE!,#VALUE!,-1.587879692,-0.51298708,#VALUE!,-1.766406397,-1.494027794
Ppat-Dpck,0.245860702,#VALUE!,#VALUE!,-0.500564821,-2.005898236,#VALUE!,-0.204648635,#VALUE!,#VALUE!,-1.433077713
CG1598,#VALUE!,-1.284089062,-0.360138098,-1.146595121,-1.216551727,-0.641851336,-1.102806051,-1.224789285,-0.040007338,-1.40091077
Pak3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.049606242,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.397372093
ABCB7,#VALUE!,#VALUE!,-1.007463579,-1.977724522,-2.313082692,-0.534704611,-0.948558289,-1.149312573,-1.623176207,-1.345124568
O-fut1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.621222058,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.335262321
sec24,-0.664882667,#VALUE!,-1.34916193,-1.521431947,-2.15168253,-2.433779091,#VALUE!,#VALUE!,#VALUE!,-1.31387154
CanA-14F,-1.003698035,-1.828280761,-1.557836765,-1.486529467,-0.645615547,#VALUE!,-0.571857609,-1.154602284,#VALUE!,-1.307465675
,-1.410581651,-1.456840702,-0.724158577,-1.205530066,#VALUE!,#VALUE!,-1.367843481,#VALUE!,-1.196243935,-1.23953206
zetaCOP,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.161556442
Cg25C,-0.875327777,-0.713379034,-1.355829914,#VALUE!,-0.924946635,#VALUE!,-0.394069557,-0.93749141,-0.956123595,-1.124534455
CG30185;Gr59f,#VALUE!,-0.236775414,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.092555516
RanGap,-1.009843833,-1.713402689,-0.768592169,-0.844587522,-0.963644372,#VALUE!,-1.56238873,-1.356568602,#VALUE!,-1.067001533
Ac76E,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.0014723,#VALUE!,#VALUE!,-1.041565605
TotM,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.603423987,-0.975141361
CG11583,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.358897945,#VALUE!,#VALUE!,#VALUE!,-0.905439614,-0.972421273
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.970243235
Pi4KIIalpha,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.960159735
uif,-2.235280182,-2.204765019,1.497637911,#VALUE!,-2.062444681,-1.937601936,#VALUE!,-0.022375703,0.399991351,-0.927935371
CG6136,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.907927905
CG4538-RA,-1.380821784,-1.372990907,-0.73463512,-1.26060119,-1.102620153,-1.838924969,#VALUE!,-1.255666653,-0.204914671,-0.900852945
CG42486-RA,-0.223171687,-0.274983099,-0.600817966,-0.832616379,#VALUE!,#VALUE!,#VALUE!,-0.475836001,-0.99271837,-0.892017597
Jheh3,#VALUE!,#VALUE!,-0.296792963,#VALUE!,#VALUE!,#VALUE!,-0.468650981,0.390777727,#VALUE!,-0.868147154
GS,-1.339929353,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.848634719
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.827947791
RhoGAP100F,-2.132071916,-1.164043597,#VALUE!,#VALUE!,-0.631779225,#VALUE!,-0.382513434,-0.171254697,-1.390245038,-0.695278702
HtrA2,#VALUE!,-0.161717815,-0.482734387,-0.370489501,#VALUE!,0.45691126,#VALUE!,#VALUE!,-0.80702314,-0.673002535
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.66447101
CG15187,-1.246429692,-1.536921664,-0.260169175,0.099497201,0.023326332,#VALUE!,#VALUE!,#VALUE!,-0.165838949,-0.655875983
,#VALUE!,#VALUE!,-0.624020863,-0.727379545,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.515129748
CG15617-RA,#VALUE!,#VALUE!,-0.738601576,#VALUE!,#VALUE!,#VALUE!,-0.761384318,-0.651246355,#VALUE!,-0.419526448
Moca-cyp,-1.035579187,#VALUE!,#VALUE!,#VALUE!,-0.833850177,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.379282228
Patronin;ssp4,#VALUE!,0.641083553,#VALUE!,#VALUE!,-0.380333454,#VALUE!,#VALUE!,0.240741731,#VALUE!,-0.367322303
CG17837,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.26091232,#VALUE!,-1.492403229,-0.357954663
Ras64B,-1.297041096,-0.923741925,-0.415114445,-0.209311357,-0.654739895,-1.254427046,-0.018746463,-0.325051301,-0.597190522,-0.308805333
AP-1mu,-1.024413833,-0.459337847,-0.389375523,#VALUE!,#VALUE!,-0.890626067,-0.267253238,#VALUE!,#VALUE!,-0.267895813
,-0.304469349,-0.664951287,#VALUE!,0.174278571,#VALUE!,#VALUE!,0.780897977,0.177471364,#VALUE!,-0.222700229
,#VALUE!,-0.071011985,-0.090787573,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.175729082
,-0.002367962,0.143132156,0.042644337,#VALUE!,#VALUE!,0.118359726,0.043204499,0.207518077,-0.549662354,-0.156418077
,#VALUE!,#VALUE!,#VALUE!,-0.533973312,#VALUE!,0.665847521,-0.493560544,#VALUE!,-0.834673295,-0.144983055
l(2)35Bg,-0.954948511,-1.009262921,-0.662825559,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.3856388,-0.178420388,-0.130681305
usnp,-0.485539362,#VALUE!,0.012211084,#VALUE!,-0.215764061,#VALUE!,-0.306252126,#VALUE!,-0.279581432,-0.097748869
aru,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.091848079
Dcp1,-1.467294052,#VALUE!,#VALUE!,#VALUE!,-0.803518851,#VALUE!,-0.57817618,#VALUE!,#VALUE!,-0.090664666
TwdlBeta,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.060231808,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.078365636
RIC-3,-0.400529851,-0.038584109,#VALUE!,-0.089651085,-0.013945914,-0.659631433,#VALUE!,0.19105724,1.008486889,-0.037754539
sgl,-1.391039401,-1.819037431,-1.028734206,-1.312831786,-0.53338854,0.234133396,#VALUE!,-0.796435474,#VALUE!,-0.027807322
,#VALUE!,3.774101781,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.330156846,-0.009945517
Srp14,-0.407937702,-0.476076788,#VALUE!,#VALUE!,-0.537068193,#VALUE!,#VALUE!,0.126840735,0.132905812,0.11196609
Rox8,#VALUE!,-1.037976699,-0.525662606,#VALUE!,-1.437994533,-0.004030745,2.821914259,-0.630639611,#VALUE!,0.124460486
,#VALUE!,-0.90627758,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.957246014,-0.237455578,#VALUE!,0.170566057
slik,-1.533618244,-3.849253175,#VALUE!,#VALUE!,-1.162105185,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.213378391
Gos28,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.293605911
PPP4R2r,-0.476759236,#VALUE!,0.123136427,#VALUE!,-0.564606096,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.309409049
dally,0.028144768,-0.245488716,#VALUE!,0.019915368,#VALUE!,#VALUE!,#VALUE!,0.189919418,#VALUE!,0.319964694
CG33506-RA,-0.181852965,0.05004888,0.178746506,0.542703792,0.119156942,-0.569286532,0.517829985,#VALUE!,#VALUE!,0.338338835
nero,#VALUE!,#VALUE!,-0.542122082,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.350610395
nrm,#VALUE!,0.077106244,0.688583227,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.358283723
,#VALUE!,-0.578111565,0.290896181,#VALUE!,0.686074659,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.444879056
Ccp84Ag,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.522457558
mRpL46,-1.621133296,-0.968491877,#VALUE!,-0.477582618,-0.471868808,-0.582965751,-0.03917695,#VALUE!,#VALUE!,0.53645083
,-0.231328682,0.668573016,0.570365777,0.557777671,-0.048904626,-0.660657345,#VALUE!,-0.107849929,#VALUE!,0.641268561
mRpL50,#VALUE!,-0.411252988,#VALUE!,#VALUE!,-0.413653176,#VALUE!,0.513389678,#VALUE!,#VALUE!,0.646070469
,-0.679804179,-0.356642492,#VALUE!,#VALUE!,-0.435221884,#VALUE!,#VALUE!,0.389126227,#VALUE!,0.649661441
Obp57a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.658828424
mrj,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.070114503,#VALUE!,0.273933569,#VALUE!,#VALUE!,0.679153521
CG5532,0.635707964,0.662661255,0.47518867,0.41283571,0.856945863,#VALUE!,0.42050935,0.450168697,0.798009028,0.681314323
,-0.590571045,-0.623487339,-0.038598927,-0.333370644,-0.326063731,#VALUE!,0.393196512,0.262793937,#VALUE!,0.759070591
,#VALUE!,0.507515586,0.500394166,#VALUE!,0.623679608,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.768755995
,-0.27912619,-0.098660017,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.23155529,0.662752389,0.796929943
atilla,#VALUE!,#VALUE!,0.953823954,#VALUE!,0.280006078,#VALUE!,1.069564695,0.999278472,#VALUE!,0.803227036
beat-VII,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.948899821,0.749062231,#VALUE!,0.853596506
,0.198745582,0.003890027,#VALUE!,#VALUE!,-0.323064665,-0.534453838,0.207518077,#VALUE!,-0.048710622,0.865285394
l(3)neo43,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.409255147,#VALUE!,#VALUE!,#VALUE!,0.872474197
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.912113305
RpII215,-0.729435178,1.776735687,-0.625889755,-0.62035686,-0.783439595,0.9157121,#VALUE!,0.629939409,#VALUE!,0.918538893
CG42487-RA,#VALUE!,#VALUE!,0.938022262,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.086376168,#VALUE!,0.941932618
RpS29,#VALUE!,-0.174979672,-0.789536322,-0.514202242,-0.834081631,0.809085118,-0.042843154,0.188780698,#VALUE!,0.959770155
Rsf1,#VALUE!,-0.206461975,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.969675463
Ect3,-0.955172263,-0.172408573,#VALUE!,0.722203692,-0.894724217,-0.794882789,#VALUE!,#VALUE!,#VALUE!,1.011424075
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.033017668
,-0.086951677,0.00604663,0.624054091,0.825622832,-0.004349061,0.488823464,#VALUE!,#VALUE!,1.139076515,1.164657575
RnpS1,-0.49222058,-0.146323657,#VALUE!,1.024886999,0.39462389,-0.367508417,0.67238008,#VALUE!,0.747000624,1.215554355
mRpL28,0.233274539,0.056167306,#VALUE!,1.052207196,-1.029234677,-1.276275445,0.973574542,1.124725152,#VALUE!,1.288417627
CG10635,0.241474126,-0.641626245,1.332679294,#VALUE!,-0.134635413,-0.318235917,#VALUE!,1.079497584,#VALUE!,1.384049807
Sh,#VALUE!,#VALUE!,-1.30789423,#VALUE!,#VALUE!,0.795933147,-1.26022101,#VALUE!,0.595980979,1.764940573
,#VALUE!,#VALUE!,-1.72161076,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.581993606,#VALUE!,1.854115368
CG7280,#VALUE!,0.18497846,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.221993331,-0.356568602,#VALUE!,2.292663973
Prosbeta1,-1.372430514,-0.106855278,-0.279091178,-0.420742601,-1.041446821,#VALUE!,#VALUE!,-0.008725786,#VALUE!,#VALUE!
yrt,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.017636903,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG34242-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nup75,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
spz,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
laccase2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.507213622,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG17508-RA,#VALUE!,0.394514142,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.032947164,#VALUE!,#VALUE!
CG8245-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
vlc,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hsepi,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG3270-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
l(2)01289,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Eb1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
koi,#VALUE!,#VALUE!,#VALUE!,-0.641176169,-0.73845715,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG1383,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
cn,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8726-RB,-2.301372557,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Asap1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Mal-A6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8586-RA,#VALUE!,-1.456523914,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.184293423,#VALUE!,#VALUE!
sec31,-2.043408014,-2.114597442,-1.036940248,-1.198824785,-1.384583703,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8243-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.752242583,2.113067014,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-2.019170379,-0.965418022,#VALUE!,-1.549958027,-2.35498089,#VALUE!,#VALUE!,-1.470448881,#VALUE!,#VALUE!
Ance-4,-1.82413692,-2.174881951,#VALUE!,#VALUE!,-0.644487507,-1.099092628,-0.163332543,#VALUE!,#VALUE!,#VALUE!
Pmm45A,-1.734419082,#VALUE!,-2.068362323,-2.193040843,-1.977781347,-1.186951499,#VALUE!,-2.44803617,-0.995592094,#VALUE!
Su(var)2-10,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hydr1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.596099703,#VALUE!,#VALUE!
alc,-0.160298348,-0.663053982,#VALUE!,-0.339491177,#VALUE!,#VALUE!,-0.788863173,-0.366689697,#VALUE!,#VALUE!
Rme-8,-1.350743248,-2.280755216,-1.234567095,-1.018907244,-2.069391328,#VALUE!,-0.652243647,-1.237047441,#VALUE!,#VALUE!
Pkn,-1.976531719,-2.077406321,-2.629322356,-1.881613693,-1.483783092,#VALUE!,-1.831563345,#VALUE!,#VALUE!,#VALUE!
GstT2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.021174702,#VALUE!,#VALUE!
,0.046141782,0.305795461,0.572016513,-0.642864678,-0.234244623,-0.572822945,-0.292970033,-0.461958547,#VALUE!,#VALUE!
Ccs,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CAP,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.045461207,#VALUE!,-1.907359548,#VALUE!,#VALUE!,#VALUE!
CG12895,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
nclb,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG18004-RB;CG18004-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,-1.725660801,#VALUE!,-0.232938502,-1.869965329,#VALUE!,-0.010424979,#VALUE!,#VALUE!,#VALUE!
rho-7,-0.689287619,-0.47838637,-0.29385407,-0.322180589,#VALUE!,-0.373177753,-0.336445881,#VALUE!,#VALUE!,#VALUE!
Mppe,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Prp8,-1.191161926,-1.163623387,-0.979316462,-0.790683892,-1.799470537,-1.815072305,-1.062233785,-0.405566106,#VALUE!,#VALUE!
RpS11,-2.93577934,-1.790010208,-0.853709733,#VALUE!,-2.500707704,-2.711700505,#VALUE!,#VALUE!,#VALUE!,#VALUE!
garz,-0.075687242,-0.368290355,#VALUE!,#VALUE!,0.815821322,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cpr49Ag,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.841892632,#VALUE!,#VALUE!
Dyb,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8545-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.267475872,0.614191559,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG4646,#VALUE!,0.993130871,#VALUE!,#VALUE!,0.257372756,#VALUE!,0.665392771,#VALUE!,1.233642683,#VALUE!
CG4679,-2.114597442,-1.612372769,-1.427401325,-0.363345221,-1.572136418,-1.968830684,-1.289157207,-1.455138781,#VALUE!,#VALUE!
CG10799-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mip120,-1.062263911,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.451701486,#VALUE!,#VALUE!
mRpL53,0.38901606,1.236829335,#VALUE!,#VALUE!,1.442120759,-0.731469789,1.047119549,#VALUE!,#VALUE!,#VALUE!
Prosap,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
cg,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BcDNA.GH03482;CG10249-RD,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Khc-73,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
eIF2B-gamma,-1.316061059,-0.497587921,#VALUE!,-1.909959585,#VALUE!,-1.991369695,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8192-RA,#VALUE!,-0.776651595,#VALUE!,#VALUE!,-0.427168525,-1.421167531,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,0.581206609,1.049561071,#VALUE!,0.103396924,-0.441908733,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jhedup,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,-0.731685387,#VALUE!,#VALUE!,#VALUE!,-1.013450718,#VALUE!,#VALUE!
clu,-3.04299178,-2.738986782,-1.836758915,-2.758281825,-1.607396815,-2.192711031,#VALUE!,-1.470808731,#VALUE!,#VALUE!
Sema-2b,#VALUE!,#VALUE!,-0.246224336,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Syn2,-1.863913636,#VALUE!,#VALUE!,#VALUE!,-1.04862109,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8303,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.539855079,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ehbp1,#VALUE!,-0.591548989,0.066399229,-0.430897827,#VALUE!,0.109427427,#VALUE!,-0.512225552,#VALUE!,#VALUE!
RhoGEF2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
l(2)k01209,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG4853-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dcr-2,#VALUE!,-0.083660944,#VALUE!,#VALUE!,-2.148480809,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG4975-RB;CG4984-RC,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Muc55B,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GstE8,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
